stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Balaji Telefilms Limited ,2001-04-11,2001-06-29,79,sell_threshold,50000.0,50000.0,0.0,0.0
Lupin Limited,2001-04-11,2001-09-10,152,sell_threshold,50000.0,50000.0,0.0,0.0
IndusInd Bank Limited ,2001-07-02,2004-05-31,1064,sell_threshold,50000.0,263903.7893700787,213903.7893700787,4.2780757874015745
Bosch Limited,2001-07-02,2006-01-02,1645,sell_threshold,50000.0,561425.6192243879,511425.6192243879,10.22851238448776
Danlaw Technologies India Limited,2001-04-02,2006-01-03,1737,sell_threshold,50000.0,50000.0,0.0,0.0
The India Cements Limited ,2004-06-28,2006-03-01,611,sell_threshold,50000.0,259583.0038911993,209583.0038911993,4.191660077823986
Zee Entertainment Enterprises Limited ,2001-04-12,2006-03-16,1799,sell_threshold,50000.0,131330.6881603673,81330.68816036731,1.626613763207346
IFCI Limited ,2004-03-23,2008-01-02,1380,sell_threshold,50000.0,660915.1854628853,610915.1854628853,12.218303709257706
Adani Enterprises Limited,2004-07-28,2008-01-02,1253,sell_threshold,50000.0,1032541.0609991471,982541.0609991471,19.65082121998294
Jindal Steel Limited ,2006-06-08,2008-01-02,573,sell_threshold,50000.0,652866.407536216,602866.407536216,12.057328150724318
Rajesh Exports Limited ,2006-06-08,2008-01-02,573,sell_threshold,50000.0,220473.2231675305,170473.2231675305,3.40946446335061
Kotak Mahindra Bank Limited,2006-06-14,2008-01-02,567,sell_threshold,50000.0,326395.9747692896,276395.9747692896,5.527919495385792
BPL Limited ,2006-10-04,2008-01-02,455,sell_threshold,50000.0,50000.0,0.0,0.0
Aurobindo Pharma Limited ,2008-10-29,2009-06-15,229,sell_threshold,50000.0,182827.26069412616,132827.26069412616,2.656545213882523
Mahindra & Mahindra Limited ,2008-10-27,2009-07-30,276,sell_threshold,50000.0,193849.1428727662,143849.1428727662,2.8769828574553244
Hindalco Industries Limited,2008-10-23,2009-09-11,323,sell_threshold,50000.0,163084.62732883263,113084.62732883263,2.261692546576653
Raymond Limited ,2008-10-24,2009-09-18,329,sell_threshold,50000.0,143196.14608101727,93196.14608101727,1.8639229216203455
Rajesh Exports Limited ,2008-10-10,2009-09-22,347,sell_threshold,50000.0,190269.02855622754,140269.02855622754,2.8053805711245507
Ajmera Realty & Infra India Limited,2008-10-08,2009-10-21,378,sell_threshold,50000.0,98883.800470668,48883.80047066799,0.9776760094133599
Sterlite Technologies Limited,2008-10-08,2009-10-21,378,sell_threshold,50000.0,194385.046383867,144385.046383867,2.8877009276773404
Balrampur Chini Mills Limited ,2008-10-24,2009-10-28,369,sell_threshold,50000.0,197914.94402193293,147914.94402193293,2.9582988804386585
Indian Acrylics Limited,2008-10-20,2009-11-17,393,sell_threshold,50000.0,50000.0,0.0,0.0
Handson Global Management (HGM) Limited ,2008-10-13,2011-01-03,812,sell_threshold,50000.0,50000.0,0.0,0.0
Tata Steel Limited,2008-10-17,2011-01-03,808,sell_threshold,50000.0,174988.65748460148,124988.65748460148,2.4997731496920297
Hindustan Copper Limited,2008-10-23,2011-01-03,802,sell_threshold,50000.0,172412.90488905585,122412.90488905585,2.448258097781117
Bharat Forge Limited,2008-10-24,2011-01-03,801,sell_threshold,50000.0,193179.71496505712,143179.71496505712,2.8635942993011425
Hindustan Zinc Limited,2008-10-24,2011-01-03,801,sell_threshold,50000.0,288428.53393288696,238428.53393288696,4.768570678657739
Thermax Limited ,2008-11-26,2011-01-03,768,sell_threshold,50000.0,253522.33078214581,203522.33078214581,4.070446615642917
GFL Limited ,2008-10-22,2011-09-05,1048,sell_threshold,50000.0,293622.5924097756,243622.5924097756,4.872451848195512
J.K. Cement Limited,2008-10-24,2012-10-15,1452,sell_threshold,50000.0,241720.48672203452,191720.48672203452,3.8344097344406904
Sundaram Finance Limited ,2008-10-27,2012-12-10,1505,sell_threshold,50000.0,315943.7004334632,265943.7004334632,5.3188740086692645
Eicher Motors Limited,2006-07-05,2012-12-31,2371,sell_threshold,50000.0,587460.7062604652,537460.7062604652,10.749214125209305
Handson Global Management (HGM) Limited ,2013-02-27,2014-01-07,314,sell_threshold,50000.0,50000.0,0.0,0.0
Finolex Cables Limited ,2008-10-27,2014-03-24,1974,sell_threshold,50000.0,240432.73498519522,190432.73498519522,3.8086546997039044
Asahi India Glass Limited,2002-05-30,2014-05-19,4372,sell_threshold,50000.0,298824.47573624045,248824.47573624045,4.976489514724809
Shree Rama Multi-Tech Limited ,2006-06-12,2014-05-27,2906,sell_threshold,50000.0,50000.0,0.0,0.0
Rane Engine Valve Limited,2008-07-03,2014-05-28,2155,sell_threshold,50000.0,50000.0,0.0,0.0
Oracle Financial Services Software Limited,2008-10-08,2015-01-01,2276,sell_threshold,50000.0,300202.43698225234,250202.43698225234,5.004048739645047
Rollatainers Limited,2013-10-23,2015-01-01,435,sell_threshold,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
Siemens Limited ,2008-12-01,2015-03-02,2282,sell_threshold,50000.0,330193.7978490215,280193.7978490215,5.60387595698043
Lupin Limited,2002-05-20,2015-03-10,4677,sell_threshold,50000.0,9065728.148335198,9015728.148335198,180.31456296670396
New Delhi Television Limited ,2008-10-08,2015-05-14,2409,sell_threshold,50000.0,30859.165088710848,-19140.834911289152,-0.382816698225783
TVS Electronics Limited ,2008-05-30,2015-08-17,2635,sell_threshold,50000.0,50000.0,0.0,0.0
Shree Rama Multi-Tech Limited ,2015-11-06,2016-01-04,59,sell_threshold,50000.0,50000.0,0.0,0.0
