stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Balaji Telefilms Limited ,2006-01-02,2006-12-28,360,holding_period,50000.0,43610.15289222688,-6389.847107773123,-0.12779694215546245
CyberTech Systems and Software Limited ,2006-01-02,2006-12-28,360,holding_period,50000.0,50000.0,0.0,0.0
Jagsonpal Pharmaceuticals Limited ,2006-01-02,2006-12-28,360,holding_period,50000.0,50000.0,0.0,0.0
LCC Infotech Limited,2006-01-02,2006-12-28,360,holding_period,50000.0,50000.0,0.0,0.0
Sundram Fasteners Limited ,2006-01-02,2006-12-28,360,holding_period,50000.0,57335.85053255001,7335.850532550008,0.14671701065100007
Trigyn Technologies Limited,2006-01-02,2006-12-28,360,holding_period,50000.0,50000.0,0.0,0.0
Shree Rama Multi-Tech Limited ,2006-06-12,2008-01-02,569,holding_period,50000.0,50000.0,0.0,0.0
Adani Enterprises Limited,2006-06-13,2008-01-02,568,holding_period,50000.0,535652.1598845581,485652.15988455806,9.713043197691162
Coromandel International Limited ,2006-07-17,2008-01-02,534,holding_period,50000.0,120244.64020604882,70244.64020604882,1.4048928041209763
Havells India Limited ,2006-07-20,2008-01-02,531,holding_period,50000.0,131123.02322991574,81123.02322991574,1.6224604645983147
Smartlink Holdings Limited ,2006-08-09,2008-01-02,511,holding_period,50000.0,50000.0,0.0,0.0
Noida Toll Bridge Company Limited ,2006-09-29,2008-01-02,460,holding_period,50000.0,116769.27465174186,66769.27465174186,1.335385493034837
Jagsonpal Pharmaceuticals Limited ,2006-12-28,2008-01-02,370,holding_period,50000.0,50000.0,0.0,0.0
Sundram Fasteners Limited ,2006-12-28,2008-01-02,370,holding_period,50000.0,17531.878097747416,-32468.121902252584,-0.6493624380450517
Apollo Tyres Limited ,2008-01-02,2008-12-29,362,holding_period,50000.0,16167.787390239988,-33832.21260976001,-0.6766442521952003
DCM Shriram Limited ,2008-01-02,2008-12-29,362,holding_period,50000.0,16275.17570402973,-33724.82429597027,-0.6744964859194054
Noida Toll Bridge Company Limited ,2008-01-02,2008-12-29,362,holding_period,50000.0,13060.838610519868,-36939.161389480134,-0.7387832277896027
Sundram Fasteners Limited ,2008-01-02,2008-12-29,362,holding_period,50000.0,12775.166587339363,-37224.833412660635,-0.7444966682532128
TVS Motor Company Limited,2008-01-16,2009-01-12,362,holding_period,50000.0,14487.089211164122,-35512.91078883588,-0.7102582157767175
Smartlink Holdings Limited ,2008-01-21,2009-01-15,360,holding_period,50000.0,50000.0,0.0,0.0
Cinevista Limited ,2008-01-22,2009-01-16,360,holding_period,50000.0,50000.0,0.0,0.0
TAJGVK Hotels & Resorts Limited ,2008-01-22,2009-01-16,360,holding_period,50000.0,17952.578005231764,-32047.421994768236,-0.6409484398953647
City Union Bank Limited ,2008-01-23,2009-01-19,362,holding_period,50000.0,21891.1286395949,-28108.8713604051,-0.562177427208102
FDC Limited,2008-01-23,2009-01-19,362,holding_period,50000.0,42771.95369517025,-7228.046304829753,-0.1445609260965951
Manugraph India Limited,2008-01-30,2009-01-26,362,holding_period,50000.0,50000.0,0.0,0.0
Rane Engine Valve Limited,2008-01-30,2009-01-26,362,holding_period,50000.0,50000.0,0.0,0.0
Aurobindo Pharma Limited ,2008-01-31,2009-01-26,361,holding_period,50000.0,25048.965828892273,-24951.034171107727,-0.49902068342215455
Dr. Reddy's Laboratories Limited,2008-02-11,2009-02-05,360,holding_period,50000.0,44281.46430154129,-5718.535698458712,-0.1143707139691742
Vardhman Textiles Limited,2008-02-13,2009-02-09,362,holding_period,50000.0,27726.43750938322,-22273.56249061678,-0.44547124981233555
Kanoria Chemicals & Industries Limited ,2008-02-29,2009-02-23,360,holding_period,50000.0,50000.0,0.0,0.0
Bajaj Holdings & Investment Limited,2008-03-19,2009-03-16,362,holding_period,50000.0,17992.70482879331,-32007.29517120669,-0.6401459034241338
Rico Auto Industries Limited,2008-03-31,2009-03-26,360,holding_period,50000.0,50000.0,0.0,0.0
Carborundum Universal Limited ,2008-04-30,2009-04-27,362,holding_period,50000.0,41154.014308606704,-8845.985691393296,-0.17691971382786598
Biocon Limited ,2008-05-28,2009-05-25,362,holding_period,50000.0,41403.42961303321,-8596.570386966792,-0.1719314077393358
63 moons technologies limited,2008-05-30,2009-05-25,360,holding_period,50000.0,38169.224341985675,-11830.775658014325,-0.2366155131602865
Havells India Limited ,2008-05-30,2009-05-25,360,holding_period,50000.0,30493.352682620323,-19506.647317379677,-0.39013294634759355
Hindustan Petroleum Corporation Limited ,2008-06-05,2009-06-01,361,holding_period,50000.0,79895.87478020211,29895.87478020211,0.5979174956040423
Indian Oil Corporation Limited ,2008-06-06,2009-06-01,360,holding_period,50000.0,78124.58640867073,28124.58640867073,0.5624917281734145
ACC Limited ,2008-06-09,2009-06-04,360,holding_period,50000.0,68038.51992877583,18038.51992877583,0.3607703985755166
Summit Securities Limited,2008-06-10,2009-06-05,360,holding_period,50000.0,50000.0,0.0,0.0
E.I.D.- Parry (India) Limited ,2008-06-13,2009-06-08,360,holding_period,50000.0,72453.79372840718,22453.79372840718,0.4490758745681436
Nahar Industrial Enterprises Limited,2008-06-23,2009-06-18,360,holding_period,50000.0,50000.0,0.0,0.0
Mangalam Cement Limited,2008-06-24,2009-06-19,360,holding_period,50000.0,50000.0,0.0,0.0
The Andhra Sugars Limited ,2008-06-24,2009-06-19,360,holding_period,50000.0,50000.0,0.0,0.0
Godrej Industries Limited,2008-06-25,2009-06-22,362,holding_period,50000.0,41512.492892134425,-8487.507107865575,-0.16975014215731155
NCC Limited,2008-06-30,2009-06-25,360,holding_period,50000.0,48153.48060042978,-1846.5193995702211,-0.03693038799140447
Coromandel International Limited ,2008-07-01,2009-06-26,360,holding_period,50000.0,88163.7296447251,38163.7296447251,0.763274592894502
Grasim Industries Limited ,2008-07-01,2009-06-26,360,holding_period,50000.0,67688.82300097005,17688.82300097005,0.3537764600194009
Maruti Suzuki India Limited ,2008-07-03,2009-06-29,361,holding_period,50000.0,97356.1861229015,47356.186122901505,0.94712372245803
Tata Steel Limited,2008-07-04,2009-06-29,360,holding_period,50000.0,31022.841757871134,-18977.158242128866,-0.37954316484257733
The Federal Bank Limited ,2008-07-07,2009-07-02,360,holding_period,50000.0,70063.66548242272,20063.665482422715,0.4012733096484542
Balkrishna Industries Limited,2008-07-15,2009-07-10,360,holding_period,50000.0,30837.340732375545,-19162.659267624455,-0.3832531853524891
Wipro Limited,2008-07-15,2009-07-10,360,holding_period,50000.0,51006.2735925511,1006.2735925511006,0.02012547185102198
United Breweries Limited,2008-07-25,2009-07-20,360,holding_period,50000.0,44388.686073586694,-5611.313926413306,-0.11222627852826617
Greaves Cotton Limited,2008-08-12,2009-08-07,360,holding_period,50000.0,39999.9883169927,-10000.011683007302,-0.20000023366014608
The Phoenix Mills Limited,2008-08-14,2009-08-10,361,holding_period,50000.0,31365.451024015256,-18634.548975984744,-0.3726909795196949
Mahindra Lifespace Developers Limited,2008-08-20,2009-08-17,362,holding_period,50000.0,32223.56422680723,-17776.43577319277,-0.35552871546385545
PTC India Limited ,2008-08-25,2009-08-20,360,holding_period,50000.0,72177.1665099028,22177.166509902803,0.44354333019805603
Raymond Limited ,2008-08-28,2009-08-24,361,holding_period,50000.0,42275.04443577042,-7724.955564229582,-0.1544991112845916
Bajaj Hindusthan Sugar Limited ,2008-09-05,2009-08-31,360,holding_period,50000.0,69142.3852397062,19142.3852397062,0.3828477047941241
Sundaram Finance Limited ,2008-09-15,2009-09-10,360,holding_period,50000.0,60231.25180588952,10231.251805889522,0.20462503611779037
Apollo Hospitals Enterprise Limited ,2008-09-17,2009-09-14,362,holding_period,50000.0,66301.69057267834,16301.690572678344,0.3260338114535668
Hindalco Industries Limited,2008-09-17,2009-09-14,362,holding_period,50000.0,74740.37237987545,24740.37237987545,0.49480744759750905
Oracle Financial Services Software Limited,2008-09-17,2009-09-14,362,holding_period,50000.0,95866.2860060944,45866.28600609439,0.9173257201218878
Asahi India Glass Limited,2008-09-19,2009-09-14,360,holding_period,50000.0,53075.4247644333,3075.424764433301,0.061508495288665976
Birla Cable Limited ,2008-09-29,2009-09-24,360,holding_period,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
IL&FS Investment Managers Limited ,2008-09-29,2009-09-24,360,holding_period,50000.0,104420.84084097233,54420.840840972334,1.0884168168194468
Infosys Limited ,2008-09-29,2009-09-24,360,holding_period,50000.0,82082.3886765965,32082.3886765965,0.6416477735319299
SRF Limited,2008-09-29,2009-09-24,360,holding_period,50000.0,70927.9628455882,20927.962845588205,0.418559256911764
Shree Rama Multi-Tech Limited ,2008-09-29,2009-09-24,360,holding_period,50000.0,50000.0,0.0,0.0
The Great Eastern Shipping Company Limited,2008-09-29,2009-09-24,360,holding_period,50000.0,46966.10873755966,-3033.8912624403383,-0.060677825248806716
MIRC Electronics Limited ,2008-09-30,2009-09-25,360,holding_period,50000.0,50000.0,0.0,0.0
Bharat Electronics Limited,2008-10-06,2009-10-01,360,holding_period,50000.0,93156.30653423432,43156.30653423432,0.8631261306846865
Gujarat Alkalies and Chemicals Limited ,2008-10-06,2009-10-01,360,holding_period,50000.0,62328.45322685157,12328.453226851569,0.2465690645370313
Marathon Nextgen Realty Limited,2008-10-06,2009-10-01,360,holding_period,50000.0,50000.0,0.0,0.0
Sterlite Technologies Limited,2008-10-06,2009-10-01,360,holding_period,50000.0,142388.25741050678,92388.25741050678,1.8477651482101356
Bharat Bijlee Limited,2008-10-07,2009-10-02,360,holding_period,50000.0,55301.86144956933,5301.861449569333,0.10603722899138668
Finolex Industries Limited ,2008-10-07,2009-10-02,360,holding_period,50000.0,74772.42798008732,24772.42798008732,0.4954485596017464
Adani Enterprises Limited,2008-10-08,2009-10-05,362,holding_period,50000.0,93739.1038258404,43739.1038258404,0.874782076516808
Nesco Limited,2008-10-08,2009-10-05,362,holding_period,50000.0,73630.45138690199,23630.451386901987,0.4726090277380397
Tata Consumer Products Limited ,2008-10-08,2009-10-05,362,holding_period,50000.0,70736.23375878239,20736.233758782386,0.4147246751756477
Archies Limited ,2008-10-10,2009-10-05,360,holding_period,50000.0,50000.0,0.0,0.0
Finolex Cables Limited ,2008-10-10,2009-10-05,360,holding_period,50000.0,71953.14319808093,21953.14319808093,0.43906286396161853
Jubilant Pharmova Limited,2008-10-10,2009-10-05,360,holding_period,50000.0,56199.41146492627,6199.41146492627,0.12398822929852549
Siemens Limited ,2008-10-10,2009-10-05,360,holding_period,50000.0,93846.79904186861,43846.79904186861,0.8769359808373722
The KCP Limited ,2008-10-10,2009-10-05,360,holding_period,50000.0,51432.530318827856,1432.5303188278558,0.02865060637655703
United Spirits Limited ,2008-10-10,2009-10-05,360,holding_period,50000.0,74339.66979525855,24339.669795258553,0.4867933959051711
Voltas Limited ,2008-10-10,2009-10-05,360,holding_period,50000.0,113685.39203313652,63685.39203313652,1.2737078406627305
Tata Chemicals Limited,2008-10-15,2009-10-12,362,holding_period,50000.0,87017.27229810269,37017.27229810269,0.7403454459620538
Mahindra & Mahindra Limited ,2008-10-17,2009-10-12,360,holding_period,50000.0,118363.28345363199,68363.28345363199,1.3672656690726397
Schaeffler India Limited,2008-10-17,2009-10-12,360,holding_period,50000.0,93236.65261924033,43236.652619240325,0.8647330523848065
Balaji Telefilms Limited ,2008-10-20,2009-10-15,360,holding_period,50000.0,38772.88233315716,-11227.117666842838,-0.2245423533368568
Grindwell Norton Limited,2008-10-20,2009-10-15,360,holding_period,50000.0,76250.0,26250.0,0.5249999999999999
3M India Limited,2008-10-23,2009-10-19,361,holding_period,50000.0,95629.5755290182,45629.5755290182,0.9125915105803639
Gujarat Narmada Valley Fertilizers & Chemicals Limited ,2008-10-23,2009-10-19,361,holding_period,50000.0,91071.46054646792,41071.46054646792,0.8214292109293584
Jindal Drilling & Industries Limited,2008-10-23,2009-10-19,361,holding_period,50000.0,79838.3266734669,29838.3266734669,0.596766533469338
Jindal Steel Limited ,2008-10-23,2009-10-19,361,holding_period,50000.0,330354.30853449943,280354.30853449943,5.607086170689989
Kotak Mahindra Bank Limited,2008-10-23,2009-10-19,361,holding_period,50000.0,110130.51329251712,60130.51329251712,1.2026102658503426
Mukand Limited,2008-10-23,2009-10-19,361,holding_period,50000.0,40834.69135581383,-9165.308644186167,-0.1833061728837233
Steel Authority of India Limited ,2008-10-23,2009-10-19,361,holding_period,50000.0,113877.24422200861,63877.24422200861,1.277544884440172
Eicher Motors Limited,2008-10-24,2009-10-19,360,holding_period,50000.0,147339.84454788806,97339.84454788806,1.9467968909577613
IFCI Limited ,2008-10-24,2009-10-19,360,holding_period,50000.0,156073.1818267973,106073.18182679731,2.1214636365359465
Tamilnadu Petroproducts Limited,2008-10-24,2009-10-19,360,holding_period,50000.0,50000.00000000001,7.275957614183426e-12,2.220446049250313e-16
The Indian Hotels Company Limited,2008-10-24,2009-10-19,360,holding_period,50000.0,93404.06762872502,43404.067628725024,0.8680813525745006
UPL Limited,2008-10-24,2009-10-19,360,holding_period,50000.0,95994.60183178859,45994.60183178859,0.9198920366357719
Canara Bank ,2008-10-27,2009-10-22,360,holding_period,50000.0,126831.34582623509,76831.34582623509,1.536626916524702
Glenmark Pharmaceuticals Limited ,2008-10-27,2009-10-22,360,holding_period,50000.0,49943.43180971609,-56.56819028391328,-0.0011313638056782427
Indian Overseas Bank ,2008-10-27,2009-10-22,360,holding_period,50000.0,93649.04552129222,43649.045521292224,0.8729809104258446
IndusInd Bank Limited ,2008-10-27,2009-10-22,360,holding_period,50000.0,229490.8555812487,179490.8555812487,3.589817111624974
National Fertilizers Limited,2008-10-27,2009-10-22,360,holding_period,50000.0,120021.3705618764,70021.3705618764,1.4004274112375281
Kalpataru Projects International Limited ,2008-10-29,2009-10-26,362,holding_period,50000.0,87513.07811348616,37513.07811348616,0.7502615622697233
JCT Limited,2008-11-05,2009-11-02,362,holding_period,50000.0,50000.0,0.0,0.0
Nahar Spinning Mills Limited,2008-11-05,2009-11-02,362,holding_period,50000.0,50000.0,0.0,0.0
Godrej Consumer Products Limited ,2008-11-06,2009-11-02,361,holding_period,50000.0,130443.17180354532,80443.17180354532,1.6088634360709064
Hindustan Zinc Limited,2008-11-06,2009-11-02,361,holding_period,50000.0,148138.9646255535,98138.96462555349,1.9627792925110699
Bharat Forge Limited,2008-11-10,2009-11-05,360,holding_period,50000.0,119941.40856655821,69941.40856655821,1.3988281713311643
