stock,entry_date,exit_date,holding_days,invested,exit_value,pnl,return_pct
3i Infotech Limited ,2011-12-29,2013-12-18,720,100000.0,167571.96680325022,67571.96680325022,0.6757196680325022
A. K. Capital Services Limited,2011-12-29,2013-12-18,720,100000.0,72088.7245841035,-27911.275415896496,-0.27911275415896497
A2Z Infra Engineering Limited,2011-12-29,2013-12-18,720,100000.0,8506.854951921005,-91493.145048079,-0.9149314504807899
ARSS Infrastructure Projects Limited,2011-12-29,2013-12-18,720,100000.0,17143.87639332374,-82856.12360667626,-0.8285612360667626
Adani Enterprises Limited,2011-12-29,2013-12-18,720,100000.0,82296.5684313823,-17703.4315686177,-0.177034315686177
Aditya Birla Money Limited,2011-12-29,2013-12-18,720,100000.0,119721.88795293488,19721.887952934878,0.1972188795293488
Aegis Logistics Limited ,2011-12-29,2013-12-18,720,100000.0,150323.90751425107,50323.90751425107,0.5032390751425107
Aeroflex Enterprises Limited,2011-12-29,2013-12-18,720,100000.0,18724.439872544346,-81275.56012745565,-0.8127556012745565
Ahluwalia Contracts (India) Limited,2011-12-29,2013-12-18,720,100000.0,47188.87945795288,-52811.12054204712,-0.5281112054204713
Akar Auto Industries Limited,2011-12-29,2013-12-18,720,100000.0,48200.20351055711,-51799.79648944289,-0.5179979648944288
Allcargo Gati Limited,2011-12-29,2013-12-18,720,100000.0,104262.93137049755,4262.93137049755,0.04262931370497558
Anand Projects Limited,2011-12-29,2013-12-18,720,100000.0,104204.75319926874,4204.753199268744,0.042047531992687404
Asit C. Mehta Financial Services Limited,2011-12-29,2013-12-18,720,100000.0,117623.14019037058,17623.140190370585,0.1762314019037059
Aurobindo Pharma Limited ,2011-12-29,2013-12-18,720,100000.0,447031.0360603105,347031.0360603105,3.470310360603105
Available Finance Limited,2011-12-29,2013-12-18,720,100000.0,266315.1166506871,166315.11665068712,1.6631511665068714
Avance Technologies Limited,2011-12-29,2013-12-18,720,100000.0,64998.43847595253,-35001.56152404747,-0.35001561524047475
B.L. Kashyap and Sons Limited ,2011-12-29,2013-12-18,720,100000.0,65760.69416153013,-34239.30583846987,-0.3423930583846987
BGR Energy Systems Limited,2011-12-29,2013-12-18,720,100000.0,66387.75844687576,-33612.241553124244,-0.33612241553124245
Bajaj Consumer Care Limited,2011-12-29,2013-12-18,720,100000.0,205787.58343211096,105787.58343211096,1.0578758343211097
Bajaj Hindusthan Sugar Limited ,2011-12-29,2013-12-18,720,100000.0,58438.81856540084,-41561.18143459916,-0.4156118143459916
Bedmutha Industries Limited ,2011-12-29,2013-12-18,720,100000.0,35897.65918907622,-64102.34081092378,-0.6410234081092379
Bhilwara Spinners Limited,2011-12-29,2013-12-18,720,100000.0,55657.17272014633,-44342.82727985367,-0.4434282727985367
Bilcare Limited,2011-12-29,2013-12-18,720,100000.0,20638.49730141626,-79361.50269858373,-0.7936150269858374
Bodal Chemicals Limited,2011-12-29,2013-12-18,720,100000.0,130857.71397419591,30857.71397419591,0.3085771397419592
Borosil Renewables Limited,2011-12-29,2013-12-18,720,100000.0,65974.20467528586,-34025.79532471414,-0.34025795324714136
CP Capital Limited ,2011-12-29,2013-12-18,720,100000.0,39358.51343606113,-60641.48656393887,-0.6064148656393887
Candour Techtex Limited,2011-12-29,2013-12-18,720,100000.0,12323.054331864905,-87676.9456681351,-0.876769456681351
Cantabil Retail India Limited ,2011-12-29,2013-12-18,720,100000.0,124318.3152949073,24318.315294907297,0.2431831529490729
Capricorn Systems Global Solutions Limited,2011-12-29,2013-12-18,720,100000.0,47501.32505489513,-52498.67494510487,-0.5249867494510487
Ceenik Exports (India) Limited,2011-12-29,2013-12-18,720,100000.0,100000.0,0.0,0.0
Central Bank of India ,2011-12-29,2013-12-18,720,100000.0,251491.94002993815,151491.94002993815,1.5149194002993815
Choice International Limited,2011-12-29,2013-12-18,720,100000.0,130827.29168735724,30827.29168735724,0.3082729168735725
Clio Infotech Limited,2011-12-29,2013-12-18,720,100000.0,106476.03027754415,6476.030277544152,0.06476030277544154
Compuage Infocom Limited,2011-12-29,2013-12-18,720,100000.0,88845.99380461418,-11154.006195385824,-0.11154006195385824
DMCC Speciality Chemicals Limited,2011-12-29,2013-12-18,720,100000.0,107440.4947835322,7440.494783532195,0.07440494783532192
DhanSafal Finserve Limited,2011-12-29,2013-12-18,720,100000.0,15266.404439758315,-84733.59556024168,-0.8473359556024168
Dhani Services Limited ,2011-12-29,2013-12-18,720,100000.0,355651.2905410489,255651.29054104892,2.5565129054104894
Dhanlaxmi Bank Limited,2011-12-29,2013-12-18,720,100000.0,115322.6414078898,15322.641407889794,0.15322641407889792
Diamant Infrastructure Limited,2011-12-29,2013-12-18,720,100000.0,17413.73554672089,-82586.26445327912,-0.8258626445327911
Educomp Solutions Limited ,2011-12-29,2013-12-18,720,100000.0,15938.274940575357,-84061.72505942464,-0.8406172505942464
Embassy Developments Limited ,2011-12-29,2013-12-18,720,100000.0,126592.19527950825,26592.195279508247,0.26592195279508246
Emmessar Biotech & Nutrition Limited,2011-12-29,2013-12-18,720,100000.0,104485.85231193926,4485.852311939263,0.044858523119392535
Ester Industries Limited,2011-12-29,2013-12-18,720,100000.0,64962.61397463845,-35037.38602536155,-0.3503738602536155
Everest Kanto Cylinder Limited ,2011-12-29,2013-12-18,720,100000.0,49152.56024519866,-50847.43975480134,-0.5084743975480134
Firstsource Solutions Limited ,2011-12-29,2013-12-18,720,100000.0,529230.5891092307,429230.58910923067,4.292305891092306
G-Tech Info-Training Limited,2011-12-29,2013-12-18,720,100000.0,80701.75438596492,-19298.245614035084,-0.1929824561403508
Garnet International Limited,2011-12-29,2013-12-18,720,100000.0,109017.5766324191,9017.576632419106,0.09017576632419111
Garware Hi-Tech Films Limited,2011-12-29,2013-12-18,720,100000.0,65315.94626868138,-34684.05373131862,-0.3468405373131862
Gayatri Projects Limited,2011-12-29,2013-12-18,720,100000.0,141434.4081646492,41434.40816464921,0.41434408164649206
Genus Power Infrastructures Limited,2011-12-29,2013-12-18,720,100000.0,356268.7457734993,256268.7457734993,2.562687457734993
Global Capital Markets Limited,2011-12-29,2013-12-18,720,100000.0,176702.9678057308,76702.96780573079,0.7670296780573078
Godawari Power & Ispat Limited ,2011-12-29,2013-12-18,720,100000.0,118273.76732053603,18273.767320536033,0.18273767320536027
Goenka Diamond and Jewels Limited ,2011-12-29,2013-12-18,720,100000.0,902821.31661442,802821.31661442,8.0282131661442
Handson Global Management (HGM) Limited ,2011-12-29,2013-12-18,720,100000.0,247625.11740238828,147625.11740238828,1.4762511740238828
Hemang Resources Limited,2011-12-29,2013-12-18,720,100000.0,90476.19047619049,-9523.809523809512,-0.09523809523809512
