stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Aksh Optifibre Limited ,2002-12-23,2009-11-16,2520,holding_period,50000.0,50000.0,0.0,0.0
Balaji Telefilms Limited ,2002-12-23,2009-11-16,2520,holding_period,50000.0,42996.682725557075,-7003.317274442925,-0.14006634548885855
CyberTech Systems and Software Limited ,2002-12-23,2009-11-16,2520,holding_period,50000.0,50000.0,0.0,0.0
LCC Infotech Limited,2002-12-23,2009-11-16,2520,holding_period,50000.0,50000.0,0.0,0.0
Mphasis Limited,2002-12-23,2009-11-16,2520,holding_period,50000.0,642535.7112370607,592535.7112370607,11.850714224741214
Reliance Industries Limited ,2002-12-23,2009-11-16,2520,holding_period,50000.0,509529.6659414211,459529.6659414211,9.190593318828423
Trigyn Technologies Limited,2002-12-23,2009-11-16,2520,holding_period,50000.0,50000.0,0.0,0.0
Shree Rama Multi-Tech Limited ,2003-02-07,2011-01-03,2887,holding_period,50000.0,50000.0,0.0,0.0
Jagsonpal Pharmaceuticals Limited ,2003-02-14,2011-01-03,2880,holding_period,50000.0,31681.27716766155,-18318.72283233845,-0.36637445664676904
Sundram Fasteners Limited ,2004-01-23,2011-01-03,2537,holding_period,50000.0,28518.28153290307,-21481.71846709693,-0.42963436934193855
Adani Enterprises Limited,2004-07-28,2011-06-22,2520,holding_period,50000.0,2392316.8308577305,2342316.8308577305,46.84633661715461
DCM Shriram Limited ,2006-01-02,2012-11-26,2520,holding_period,50000.0,41857.04650826104,-8142.953491738961,-0.16285906983477927
Noida Toll Bridge Company Limited ,2006-04-17,2013-03-11,2520,holding_period,50000.0,44281.936831718274,-5718.063168281726,-0.11436126336563446
T. Spiritual World Limited,2006-05-22,2013-04-15,2520,holding_period,50000.0,50000.0,0.0,0.0
JM Financial Limited,2006-06-29,2013-05-23,2520,holding_period,50000.0,103037.80499024437,53037.804990244374,1.0607560998048875
United Breweries Limited,2006-08-24,2013-07-18,2520,holding_period,50000.0,433988.6968015904,383988.6968015904,7.679773936031808
K.C.P. Sugar and Industries Corporation Limited,2006-09-20,2013-08-14,2520,holding_period,50000.0,49784.14417798397,-215.85582201602665,-0.004317116440320512
Entertainment Network (India) Limited ,2006-11-06,2013-09-30,2520,holding_period,50000.0,63476.185891705296,13476.185891705296,0.2695237178341059
Vardhman Holdings Limited,2006-11-06,2013-09-30,2520,holding_period,50000.0,51929.59430425832,1929.5943042583167,0.038591886085166394
Apollo Tyres Limited ,2008-01-02,2015-01-01,2556,holding_period,50000.0,200395.55156783923,150395.55156783923,3.0079110313567847
Mahindra Lifespace Developers Limited,2008-01-02,2015-01-01,2556,holding_period,50000.0,27586.67342705481,-22413.32657294519,-0.4482665314589038
Manugraph India Limited,2008-01-10,2015-01-01,2548,holding_period,50000.0,50000.0,0.0,0.0
Bajaj Hindusthan Sugar Limited ,2008-01-21,2015-01-01,2537,holding_period,50000.0,21711.452815486784,-28288.547184513216,-0.5657709436902643
Rico Auto Industries Limited,2008-01-22,2015-01-01,2536,holding_period,50000.0,50000.0,0.0,0.0
Royal Orchid Hotels Limited ,2008-01-22,2015-01-01,2536,holding_period,50000.0,50000.0,0.0,0.0
SRF Limited,2008-01-22,2015-01-01,2536,holding_period,50000.0,348338.64818789205,298338.64818789205,5.966772963757841
City Union Bank Limited ,2008-01-23,2015-01-01,2535,holding_period,50000.0,273913.4287661895,223913.4287661895,4.478268575323789
Sasken Technologies Limited ,2008-02-11,2015-01-05,2520,holding_period,50000.0,24416.485456847462,-25583.514543152538,-0.5116702908630508
Kanoria Chemicals & Industries Limited ,2008-03-03,2015-01-26,2520,holding_period,50000.0,50000.0,0.0,0.0
Walchandnagar Industries Limited ,2008-03-13,2015-02-05,2520,holding_period,50000.0,19675.44048937568,-30324.55951062432,-0.6064911902124863
Bajaj Holdings & Investment Limited,2008-03-14,2015-02-06,2520,holding_period,50000.0,101609.49150198678,51609.49150198678,1.0321898300397354
TVS Motor Company Limited,2008-03-24,2015-02-16,2520,holding_period,50000.0,950942.759293556,900942.759293556,18.018855185871118
63 moons technologies limited,2008-05-30,2015-04-24,2520,holding_period,50000.0,6132.84086241578,-43867.15913758422,-0.8773431827516844
Vipul Limited,2008-05-30,2015-04-24,2520,holding_period,50000.0,14671.32471590144,-35328.67528409856,-0.7065735056819712
Cinevista Limited ,2008-06-23,2015-05-18,2520,holding_period,50000.0,50000.0,0.0,0.0
PTC India Limited ,2008-06-23,2015-05-18,2520,holding_period,50000.0,55676.29659153504,5676.296591535043,0.11352593183070092
Godrej Industries Limited,2008-06-25,2015-05-20,2520,holding_period,50000.0,123862.02589952944,73862.02589952944,1.4772405179905888
Nahar Industrial Enterprises Limited,2008-06-30,2015-05-25,2520,holding_period,50000.0,50000.0,0.0,0.0
Country Club Hospitality & Holidays Limited,2008-07-01,2015-05-26,2520,holding_period,50000.0,10390.401369549698,-39609.5986304503,-0.7921919726090061
Havells India Limited ,2008-07-01,2015-05-26,2520,holding_period,50000.0,450039.25837458577,400039.25837458577,8.000785167491715
Hindustan Zinc Limited,2008-07-01,2015-05-26,2520,holding_period,50000.0,175457.32224281528,125457.32224281528,2.5091464448563054
Nahar Spinning Mills Limited,2008-07-01,2015-05-26,2520,holding_period,50000.0,50000.0,0.0,0.0
Rane Engine Valve Limited,2008-07-01,2015-05-26,2520,holding_period,50000.0,50000.0,0.0,0.0
Swan Corp Limited,2008-07-01,2015-05-26,2520,holding_period,50000.0,221634.4238975818,171634.4238975818,3.4326884779516353
ACC Limited ,2008-07-02,2015-05-27,2520,holding_period,50000.0,146168.3134744251,96168.31347442509,1.9233662694885019
LMW Limited,2008-07-07,2015-06-01,2520,holding_period,50000.0,174082.2589874518,124082.25898745179,2.4816451797490355
Precot Limited ,2008-07-24,2015-06-18,2520,holding_period,50000.0,50000.0,0.0,0.0
Rajesh Exports Limited ,2008-07-29,2015-06-23,2520,holding_period,50000.0,331646.0838479038,281646.0838479038,5.632921676958077
The Phoenix Mills Limited,2008-08-14,2015-07-09,2520,holding_period,50000.0,100372.60779988384,50372.607799883845,1.0074521559976768
