
lookback_quarters,threshold,exit_method,exit_param,statistic,na_allowed_pct,initial_capital,max_positions,position_size_pct,initial_value,final_value,CAGR,max_drawdown,Sharpe,win_ratio,Calmar,num_trades,start_date,end_date
1,0.1,holding_period,1Q,mean,0.3,10000000,200,0.005,10000000.0,29294400.35519001,0.04580173707879687,-0.3309531857822237,0.6137158895279416,0.399289756963711,0.1383934013825619,9011,2001-01-01,2025-01-01
1,0.1,holding_period,2Q,mean,0.3,10000000,200,0.005,10000000.0,41755286.414056934,0.06136063946722614,-0.2665504888189812,0.7531147184478604,0.4299033734531276,0.23020268970092625,5899,2001-01-01,2025-01-01
1,0.1,holding_period,3Q,mean,0.3,10000000,200,0.005,10000000.0,49883002.847077966,0.0692551677170552,-0.2239848697752735,0.6178397640571217,0.4644943820224719,0.3091957407057882,4450,2001-01-01,2025-01-01
1,0.1,holding_period,4Q,mean,0.3,10000000,200,0.005,10000000.0,62882910.645437375,0.0796231617648624,-0.15119420255333188,0.7218252624762974,0.47749567224466244,0.526628405191504,3466,2001-01-01,2025-01-01
1,0.1,holding_period,3Y,mean,0.3,10000000,200,0.005,10000000.0,69980237.69238886,0.0844444460885061,-0.2718319010745376,0.7956072875708001,0.5493372606774669,0.31064950712076667,1358,2001-01-01,2025-01-01
1,0.1,holding_period,2Y,mean,0.3,10000000,200,0.005,10000000.0,62305289.09910378,0.07920812121645282,-0.31940693733934966,0.722404502197312,0.5557299843014128,0.24798497451637752,1911,2001-01-01,2025-01-01
1,0.1,holding_period,7Y,mean,0.3,10000000,200,0.005,10000000.0,114576961.63650012,0.10695267532252473,-0.4336743370742859,0.5586921066366154,0.6444833625218914,0.24661979319335273,571,2001-01-01,2025-01-01
1,0.1,holding_period,5Y,mean,0.3,10000000,200,0.005,10000000.0,95309253.15618023,0.0984930016508978,-0.2528621989983886,0.7412494689069351,0.612987012987013,0.3895125568038166,770,2001-01-01,2025-01-01
1,0.1,sell_threshold,10pct,mean,0.3,10000000,200,0.005,10000000.0,138590649.127151,0.11576374873820816,-0.32125549217099847,0.8676614302638136,0.7631954350927247,0.360347921076441,701,2001-01-01,2025-01-01
1,0.1,sell_threshold,20pct,mean,0.3,10000000,200,0.005,10000000.0,159626608.71242666,0.12235278087861357,-0.3248438179982386,0.9102704239259952,0.7810760667903525,0.37665109846503836,539,2001-01-01,2025-01-01
1,0.1,sell_threshold,30pct,mean,0.3,10000000,200,0.005,10000000.0,173767098.40954262,0.12632912541545105,-0.321716175119462,0.9297858574907468,0.8031674208144797,0.39267259524188236,442,2001-01-01,2025-01-01
1,0.2,holding_period,1Q,mean,0.3,10000000,200,0.005,10000000.0,18237435.454423524,0.02535319808911929,-0.28039331486127117,0.5251027150713932,0.3808673469387755,0.09042012325316374,3920,2001-01-01,2025-01-01
1,0.2,holding_period,2Q,mean,0.3,10000000,200,0.005,10000000.0,22587541.020374686,0.03453345549960596,-0.30880492825460787,0.6792942990655008,0.38560250391236306,0.11182935354947873,3195,2001-01-01,2025-01-01
1,0.2,holding_period,3Q,mean,0.3,10000000,200,0.005,10000000.0,39198096.80152403,0.058569493838861675,-0.21187189644923698,0.5663390120069808,0.4432023079697079,0.2764382384848031,2773,2001-01-01,2025-01-01
1,0.1,sell_threshold,40pct,mean,0.3,10000000,200,0.005,10000000.0,190158783.96069443,0.13056755078523596,-0.3264915028091819,0.9538410946858981,0.7804878048780488,0.39991102268148837,410,2001-01-01,2025-01-01
1,0.1,sell_threshold,50pct,mean,0.3,10000000,200,0.005,10000000.0,191672981.03848904,0.13094123061644214,-0.3029659637043701,0.9829951665243097,0.8201058201058201,0.4321978251795067,378,2001-01-01,2025-01-01
